ts_ns,ts_iso,elapsed_s,distance_m,spm,power,pace,calhr,calories,strokestate,status,forceplot_current_json,forceplot_complete_json
16184639625,2025-10-04T12:35:36.351,2.36,7.9,0,80,163.5533155094295,575.328,0,Recovery,Offline,,
16460703000,2025-10-04T12:35:36.627,2.62,8.7,0,80,163.5533155094295,575.328,0,Recovery,Offline,,
16732661333,2025-10-04T12:35:36.899,2.9,9.6,0,80,163.5533155094295,575.328,0,Drive,Offline,"[10, 10, 35, 66, 66, 85, 85, 97, 100, 100, 108, 107, 107, 115, 123, 123]",
17006668208,2025-10-04T12:35:37.173,3.18,10.7,0,80,163.5533155094295,575.328,0,Drive,Offline,"[127, 137, 139, 139, 142, 142, 142, 145, 153, 155, 159, 159, 161, 166, 162, 162]",
17278653791,2025-10-04T12:35:37.445,3.47,12.0,22,128,139.8361177601746,740.5248,0,Dwelling,Offline,"[154, 154, 152, 146, 139, 135, 131, 132, 122, 115, 102, 93, 93, 83, 76, 59]",
17544658791,2025-10-04T12:35:37.711,3.73,13.1,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
17818704958,2025-10-04T12:35:37.985,4.0,14.3,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
18084633250,2025-10-04T12:35:38.251,4.28,15.4,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
18348661125,2025-10-04T12:35:38.515,4.53,16.4,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
18614741791,2025-10-04T12:35:38.781,4.79,17.4,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
18888645458,2025-10-04T12:35:39.055,5.06,18.3,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
19154727958,2025-10-04T12:35:39.321,5.34,19.3,22,128,139.8361177601746,740.5248,0,Recovery,Offline,"[44, 29, 16, 1]",
19428696791,2025-10-04T12:35:39.595,5.62,20.3,22,128,139.8361177601746,740.5248,0,Drive,Offline,"[38, 38, 60, 82, 90, 90, 96, 98, 103, 103, 103, 100, 104]",
19700655500,2025-10-04T12:35:39.867,5.9,21.4,22,128,139.8361177601746,740.5248,0,Drive,Offline,"[104, 110, 116, 119, 123, 133, 133, 140, 143, 148, 144, 149, 144, 146, 146, 148]",
19966725583,2025-10-04T12:35:40.133,6.17,22.7,22,175,125.99210498948732,902.2800000000001,1,Dwelling,Offline,"[146, 145, 137, 131, 126, 124, 120, 114, 104, 98, 89, 76, 62, 46, 30, 17]",
20232641625,2025-10-04T12:35:40.399,6.42,23.9,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
20506635458,2025-10-04T12:35:40.673,6.69,25.1,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
20778657833,2025-10-04T12:35:40.945,6.96,26.2,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
21052718416,2025-10-04T12:35:41.219,7.24,27.3,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
21326648125,2025-10-04T12:35:41.493,7.51,28.4,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
21598658541,2025-10-04T12:35:41.765,7.79,29.5,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
21866705666,2025-10-04T12:35:42.033,8.04,30.4,22,175,125.99210498948732,902.2800000000001,1,Recovery,Offline,[3],
22138629708,2025-10-04T12:35:42.305,8.33,31.4,22,175,125.99210498948732,902.2800000000001,1,Drive,Offline,"[32, 32, 60, 76, 83, 83, 85, 88, 90, 87, 87, 87]",
22412711083,2025-10-04T12:35:42.579,8.61,32.6,22,175,125.99210498948732,902.2800000000001,1,Drive,Offline,"[90, 96, 101, 101, 102, 110, 116, 122, 126, 126, 127, 136, 135, 138, 133, 132]",
22684635541,2025-10-04T12:35:42.851,8.87,33.8,22,193,121.94675412269214,964.2288000000001,2,Dwelling,Offline,"[130, 127, 127, 125, 125, 122, 123, 115, 111, 103, 98, 94, 81, 71, 61, 49]",
22950655375,2025-10-04T12:35:43.117,9.13,35.0,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
23224740208,2025-10-04T12:35:43.391,9.41,36.2,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
23498656208,2025-10-04T12:35:43.665,9.68,37.3,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
23772717791,2025-10-04T12:35:43.939,9.96,38.5,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
24036626458,2025-10-04T12:35:44.203,10.23,39.5,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
24310632208,2025-10-04T12:35:44.477,10.49,40.5,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
24584660625,2025-10-04T12:35:44.751,10.76,41.5,22,193,121.94675412269214,964.2288000000001,2,Recovery,Offline,"[33, 21, 10, 10]",
24856730666,2025-10-04T12:35:45.023,11.04,42.5,22,193,121.94675412269214,964.2288000000001,2,Drive,Offline,"[23, 23, 49, 74, 91, 103, 103, 106, 104, 107, 107, 109, 116, 114, 119, 119]",
25130700666,2025-10-04T12:35:45.297,11.32,43.7,22,193,121.94675412269214,964.2288000000001,2,Drive,Offline,"[119, 130, 138, 145, 147, 147, 150, 152, 152, 153, 150, 151, 147, 146, 145, 141]",
25404635750,2025-10-04T12:35:45.571,11.59,45.0,23,197,121.11574531655695,977.9952000000001,2,Dwelling,Offline,"[137, 126, 125, 120, 117, 107, 101, 95, 82, 65, 45, 33, 22]",
25678660791,2025-10-04T12:35:45.845,11.86,46.3,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
25950615875,2025-10-04T12:35:46.117,12.15,47.6,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
26216680583,2025-10-04T12:35:46.383,12.41,48.7,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
26482656458,2025-10-04T12:35:46.649,12.67,49.8,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
26756636000,2025-10-04T12:35:46.923,12.93,50.8,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
27028645458,2025-10-04T12:35:47.195,13.21,51.9,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
27302635583,2025-10-04T12:35:47.469,13.48,52.9,23,197,121.11574531655695,977.9952000000001,2,Recovery,Offline,[8],
27568655166,2025-10-04T12:35:47.735,13.75,53.9,23,197,121.11574531655695,977.9952000000001,2,Drive,Offline,"[43, 77, 77, 99, 109, 112, 113, 113, 116, 116, 115, 114, 114, 118, 121, 129]",
27842648291,2025-10-04T12:35:48.009,14.03,55.2,23,197,121.11574531655695,977.9952000000001,2,Drive,Offline,"[129, 134, 137, 141, 145, 145, 142, 145, 143, 144, 141, 143, 144, 144, 140, 135]",
28114632333,2025-10-04T12:35:48.281,14.31,56.6,22,212,118.1890915440647,1029.6192,3,Dwelling,Offline,"[136, 119, 122, 110, 115, 103, 96, 89, 80, 66, 51, 35, 20]",
28380671375,2025-10-04T12:35:48.547,14.58,57.9,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,[14],
28646648708,2025-10-04T12:35:48.813,14.83,59.0,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,[14],
28920643458,2025-10-04T12:35:49.087,15.11,60.2,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,[14],
29192631125,2025-10-04T12:35:49.359,15.38,61.4,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,[14],
29466735500,2025-10-04T12:35:49.633,15.66,62.5,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,[14],
29732651458,2025-10-04T12:35:49.899,15.91,63.5,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,[14],
30006629958,2025-10-04T12:35:50.173,16.2,64.5,22,212,118.1890915440647,1029.6192,3,Recovery,Offline,"[46, 46]",
30272682708,2025-10-04T12:35:50.439,16.46,65.6,22,212,118.1890915440647,1029.6192,3,Drive,Offline,"[77, 104, 112, 112, 111, 99, 95, 98, 107, 107, 110, 112, 111, 116, 115, 122]",
30544695583,2025-10-04T12:35:50.711,16.72,66.8,22,212,118.1890915440647,1029.6192,3,Drive,Offline,"[122, 124, 135, 139, 147, 153, 153, 155, 152, 153, 148, 147, 145, 143, 141, 138]",
30818891458,2025-10-04T12:35:50.985,17.01,68.2,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,"[129, 124, 112, 109, 102, 89, 79, 67, 46, 33, 16, 14]","[10, 10, 35, 66, 66, 85, 85, 97, 100, 100, 108, 107, 107, 115, 123, 123, 127, 137, 139, 139, 142, 142, 142, 145, 153, 155, 159, 159, 161, 166, 162, 162, 154, 154, 152, 146, 139, 135, 131, 132, 122, 115, 102, 93, 93, 83, 76, 59, 44, 29, 16, 1, 38, 38, 60, 82, 90, 90, 96, 98, 103, 103, 103, 100, 104, 104, 110, 116, 119, 123, 133, 133, 140, 143, 148, 144, 149, 144, 146, 146, 148, 146, 145, 137, 131, 126, 124, 120, 114, 104, 98, 89, 76, 62, 46, 30, 17, 3, 32, 32, 60, 76, 83, 83, 85, 88, 90, 87, 87, 87, 90, 96, 101, 101, 102, 110, 116, 122, 126, 126, 127, 136, 135, 138, 133, 132, 130, 127, 127, 125, 125, 122, 123, 115, 111, 103, 98, 94, 81, 71, 61, 49, 33, 21, 10, 10, 23, 23, 49, 74, 91, 103, 103, 106, 104, 107, 107, 109, 116, 114, 119, 119, 119, 130, 138, 145, 147, 147, 150, 152, 152, 153, 150, 151, 147, 146, 145, 141, 137, 126, 125, 120, 117, 107, 101, 95, 82, 65, 45, 33, 22, 8, 43, 77, 77, 99, 109, 112, 113, 113, 116, 116, 115, 114, 114, 118, 121, 129, 129, 134, 137, 141, 145, 145, 142, 145, 143, 144, 141, 143, 144, 144, 140, 135, 136, 119, 122, 110, 115, 103, 96, 89, 80, 66, 51, 35, 20, 14, 46, 46, 77, 104, 112, 112, 111, 99, 95, 98, 107, 107, 110, 112, 111, 116, 115, 122, 122, 124, 135, 139, 147, 153, 153, 155, 152, 153, 148, 147, 145, 143, 141, 138, 129, 124, 112, 109, 102, 89, 79, 67, 46, 33, 16, 14]"
31084657666,2025-10-04T12:35:51.251,17.27,69.4,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
31356721583,2025-10-04T12:35:51.523,17.55,70.7,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
31622644916,2025-10-04T12:35:51.789,17.81,71.9,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
31888623583,2025-10-04T12:35:52.055,18.08,73.0,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
32162666125,2025-10-04T12:35:52.329,18.35,74.1,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
32434654875,2025-10-04T12:35:52.601,18.62,75.1,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
32700614708,2025-10-04T12:35:52.867,18.88,76.1,22,222,116.38714722736499,1064.0352,4,Recovery,Offline,,
32966693041,2025-10-04T12:35:53.133,19.17,77.2,22,222,116.38714722736499,1064.0352,4,Drive,Offline,"[44, 72, 72, 93, 107, 112, 106, 106, 104, 105, 111, 113, 115, 115, 118, 124]",
33232611083,2025-10-04T12:35:53.399,19.42,78.4,22,222,116.38714722736499,1064.0352,4,Drive,Offline,"[129, 138, 135, 147, 142, 155, 155, 153, 160, 162, 164, 162, 157, 147, 141, 137]",
33498624500,2025-10-04T12:35:53.665,19.69,79.7,22,222,116.38714722736499,1064.0352,5,Dwelling,Offline,"[128, 123, 119, 113, 110, 99, 92, 81, 66, 35, 25]",
33764724416,2025-10-04T12:35:53.931,19.95,80.9,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
34036646791,2025-10-04T12:35:54.203,20.23,82.2,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
34302633250,2025-10-04T12:35:54.469,20.49,83.4,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
34568709291,2025-10-04T12:35:54.735,20.76,84.5,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
34834638416,2025-10-04T12:35:55.001,21.02,85.6,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
35106617833,2025-10-04T12:35:55.273,21.29,86.6,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
35372715291,2025-10-04T12:35:55.539,21.55,87.6,22,222,116.38714722736499,1064.0352,5,Recovery,Offline,[12],
35638607583,2025-10-04T12:35:55.805,21.83,88.7,22,222,116.38714722736499,1064.0352,5,Drive,Offline,"[24, 24, 47, 72, 93, 93, 105, 106, 106, 109, 109, 112, 118]",
35912638416,2025-10-04T12:35:56.079,22.09,89.8,22,222,116.38714722736499,1064.0352,5,Drive,Offline,"[118, 126, 130, 129, 129, 138, 135, 149, 143, 150, 151, 152, 154, 150, 151, 147]",
36186645000,2025-10-04T12:35:56.353,22.37,91.2,22,221,116.56242934043914,1060.5936000000002,5,Dwelling,Offline,"[149, 149, 142, 142, 130, 127, 110, 110, 91, 96, 81, 69, 59, 41, 37, 20]",
36458622958,2025-10-04T12:35:56.625,22.66,92.5,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
36724604083,2025-10-04T12:35:56.891,22.92,93.7,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
36998630125,2025-10-04T12:35:57.165,23.18,94.9,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
37272747041,2025-10-04T12:35:57.439,23.45,96.0,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
37536624291,2025-10-04T12:35:57.703,23.73,97.1,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
37810627166,2025-10-04T12:35:57.977,24.0,98.2,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
38084623166,2025-10-04T12:35:58.251,24.26,99.2,22,221,116.56242934043914,1060.5936000000002,5,Recovery,Offline,[10],
38356690250,2025-10-04T12:35:58.523,24.54,100.3,22,221,116.56242934043914,1060.5936000000002,5,Drive,Offline,"[25, 25, 55, 82, 102, 102, 111, 113, 111, 108, 106, 106, 109, 114]",
