ts_ns,ts_iso,raw_json
5912651291,2025-10-04T12:35:26.079,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
6184680958,2025-10-04T12:35:26.351,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
6458745208,2025-10-04T12:35:26.625,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
6724672958,2025-10-04T12:35:26.891,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
6990668708,2025-10-04T12:35:27.157,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
7264759958,2025-10-04T12:35:27.431,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
7528657625,2025-10-04T12:35:27.695,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
7802663791,2025-10-04T12:35:27.969,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
8076675375,2025-10-04T12:35:28.243,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
8348755875,2025-10-04T12:35:28.515,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
8614644791,2025-10-04T12:35:28.781,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
8888659000,2025-10-04T12:35:29.055,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
9162757083,2025-10-04T12:35:29.329,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
9428679458,2025-10-04T12:35:29.595,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
9700666916,2025-10-04T12:35:29.867,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
9966723208,2025-10-04T12:35:30.133,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
10240653250,2025-10-04T12:35:30.407,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
10506654333,2025-10-04T12:35:30.673,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
10772654708,2025-10-04T12:35:30.939,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
11044659916,2025-10-04T12:35:31.211,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
11318695666,2025-10-04T12:35:31.485,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
11584646291,2025-10-04T12:35:31.751,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
11848659791,2025-10-04T12:35:32.015,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
12114661708,2025-10-04T12:35:32.281,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
12388649791,2025-10-04T12:35:32.555,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
12662675625,2025-10-04T12:35:32.829,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
12928651958,2025-10-04T12:35:33.095,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
